age,gender,vehicle_age,vehicle_type,annual_mileage,driving_violations,claim_amount,previous_claims,credit_score,region,is_fraud
18,F,2,sedan,6747,0,9303,1,432,urban,1
57,M,9,suv,14161,1,5905,1,520,suburban,0
46,F,7,luxury,16938,1,1404,2,691,suburban,1
40,M,8,suv,16044,1,4060,2,652,suburban,0
46,F,3,suv,11794,2,2215,0,595,suburban,0
18,M,7,truck,17925,0,2186,0,691,suburban,0
41,M,3,sedan,4745,1,1507,1,822,suburban,0
50,F,10,truck,13360,1,3271,1,631,suburban,0
67,F,4,luxury,26587,0,6806,1,686,suburban,0
37,F,7,sedan,19195,1,698,4,580,urban,0
32,F,2,luxury,15032,0,1689,1,653,rural,1
37,M,2,luxury,16439,1,1696,0,643,suburban,0
58,F,5,suv,13013,1,3609,1,817,urban,0
49,M,10,suv,12095,0,10629,1,621,urban,0
37,F,6,suv,15353,1,4888,0,534,urban,0
52,M,4,suv,14526,0,500,2,630,suburban,0
46,M,1,sedan,18396,0,5404,2,635,suburban,0
59,M,8,truck,11876,2,2711,1,563,urban,0
34,F,5,sedan,12633,1,5414,2,662,suburban,0
40,F,3,suv,18688,0,1007,2,619,urban,0
39,M,4,sports,8899,1,3790,2,815,suburban,0
23,M,3,luxury,12473,0,4664,2,835,suburban,0
49,M,3,suv,17262,1,12378,1,739,urban,0
48,M,4,suv,7711,1,1554,0,664,suburban,0
45,M,4,luxury,12266,1,6428,1,664,suburban,0
41,F,5,luxury,2407,3,1155,1,607,rural,0
23,M,3,truck,9614,0,1727,2,716,urban,0
38,F,6,sedan,8041,0,10503,1,644,suburban,1
39,F,4,luxury,9243,1,22631,1,563,suburban,0
32,F,6,sedan,19903,0,16803,1,559,rural,0
42,M,6,suv,2135,0,747,3,610,rural,1
51,M,5,sports,16356,0,3860,2,799,rural,0
73,M,7,sports,9884,0,867,1,511,suburban,0
47,M,5,truck,13915,0,16839,0,549,urban,0
48,F,6,truck,7949,0,5123,1,633,rural,0
43,F,4,truck,16651,1,5861,1,633,rural,0
18,F,8,sports,9660,0,2866,0,721,urban,0
44,M,11,luxury,5344,0,6399,0,560,suburban,0
45,M,6,luxury,11491,1,1601,1,737,urban,0
81,M,3,luxury,10800,1,3504,0,671,suburban,0
42,M,4,suv,8317,0,8480,1,814,suburban,0
49,M,8,sedan,11966,1,1302,1,684,rural,0
44,M,6,suv,7378,0,1676,0,743,rural,0
27,F,5,truck,9839,1,2138,1,599,urban,0
62,F,6,truck,15714,2,2763,1,668,suburban,0
56,M,4,luxury,15604,0,1467,2,636,rural,0
56,F,5,suv,12177,0,2172,0,652,rural,0
31,F,14,suv,11158,0,7386,0,473,urban,0
66,F,4,luxury,19173,0,1377,0,544,suburban,0
23,F,6,sedan,18314,1,19227,2,814,suburban,0
53,M,2,sedan,12038,0,5539,0,658,urban,0
77,F,5,suv,1000,1,5349,1,490,suburban,0
30,M,5,suv,15918,1,2554,1,660,urban,0
36,M,4,sedan,11002,0,4560,1,679,suburban,0
46,F,3,sports,9765,1,25889,2,850,rural,0
37,M,6,sports,10101,1,1945,2,831,urban,0
21,F,5,truck,19024,1,1264,0,583,urban,0
46,M,7,suv,14395,0,2986,2,575,urban,0
29,M,8,sedan,13348,0,1338,1,642,suburban,1
52,F,6,luxury,10045,0,4024,1,724,rural,0
31,F,5,luxury,18434,0,1781,1,823,suburban,1
68,M,8,sports,11308,0,4514,1,572,urban,0
33,F,9,sedan,20858,1,918,1,658,rural,0
40,M,3,sports,12608,0,2379,0,616,rural,0
57,F,5,sports,18220,1,1097,1,651,rural,0
26,M,2,suv,7689,1,1215,0,701,suburban,0
48,M,6,suv,10704,2,2118,0,519,suburban,0
64,M,9,sedan,22254,1,4170,0,631,rural,0
20,M,5,truck,19949,0,1377,0,487,rural,0
47,M,7,suv,19235,1,2975,1,678,suburban,0
48,F,7,truck,12931,0,10886,1,751,rural,0
56,M,3,sports,17670,0,2037,0,597,rural,1
26,F,5,sports,22002,0,544,2,610,urban,0
25,F,5,sedan,19325,1,3347,0,647,urban,0
52,M,4,sedan,11748,1,10748,0,695,urban,0
49,M,5,sports,19769,1,500,1,751,rural,1
48,F,4,truck,10026,1,781,1,791,rural,0
50,M,8,truck,5091,1,3088,0,470,suburban,0
34,M,7,sports,9168,0,3668,0,623,urban,0
48,F,6,luxury,11201,0,3247,0,559,urban,0
49,F,7,luxury,14409,0,16193,0,609,suburban,0
34,F,10,truck,14147,0,5056,0,735,rural,0
72,F,4,luxury,7573,1,5102,2,681,rural,0
52,F,9,suv,6146,0,1790,0,616,rural,0
27,F,9,sedan,12970,0,1988,1,776,rural,0
54,M,9,sedan,1935,0,6536,0,660,urban,0
30,F,3,luxury,17018,1,500,1,550,rural,0
56,F,3,sports,11598,0,3953,1,701,rural,0
62,M,8,suv,5371,1,996,0,647,urban,0
32,M,6,luxury,11867,0,5893,1,831,suburban,0
59,M,9,sports,14868,1,11527,1,636,urban,0
51,M,2,sports,13928,1,812,1,752,rural,0
57,M,6,truck,18898,1,5118,0,547,rural,0
73,M,2,suv,14854,2,8234,1,520,suburban,0
41,F,9,suv,13410,0,3078,0,537,rural,0
33,M,6,truck,11027,1,3684,3,528,rural,0
31,M,1,sports,8373,0,23279,2,702,urban,0
32,M,3,sports,10796,1,8637,0,779,rural,0
43,M,4,luxury,18438,1,13574,3,768,suburban,1
50,F,4,sedan,9014,0,3581,0,696,rural,0
49,M,6,truck,24973,0,6580,2,598,suburban,0
57,M,8,luxury,8142,1,2948,0,764,suburban,0
45,F,5,suv,18230,0,3558,0,693,suburban,0
66,F,11,suv,20278,0,959,0,684,suburban,0
41,F,9,suv,4408,1,677,0,612,urban,0
85,M,5,sedan,18112,1,3115,0,559,suburban,0
54,F,4,truck,10460,1,2993,1,597,rural,0
32,F,3,sedan,4167,0,2823,0,816,rural,0
28,F,12,sports,4238,0,1934,0,561,suburban,0
52,M,5,sports,16784,0,1166,1,633,rural,0
41,M,12,suv,18799,0,897,0,713,urban,0
55,F,4,truck,11992,1,815,1,704,rural,0
52,M,5,luxury,20840,0,5005,1,751,urban,1
43,M,3,sports,3394,0,43935,0,561,urban,0
32,M,3,luxury,12973,0,15611,2,686,rural,0
22,M,5,luxury,15357,1,500,0,645,urban,0
38,M,3,sports,15296,0,682,2,594,suburban,0
57,F,8,luxury,3060,0,5348,1,774,urban,0
48,F,6,luxury,15160,1,3710,0,596,rural,0
26,F,4,luxury,11762,0,11157,0,772,rural,0
47,F,2,sedan,14884,0,1412,1,569,rural,0
50,M,8,truck,6077,1,1740,1,678,urban,0
31,F,7,suv,19235,1,3476,0,572,suburban,0
47,F,3,sedan,14621,2,14423,2,639,rural,0
45,M,3,luxury,13706,0,4488,1,850,suburban,0
27,M,8,sedan,16795,0,2036,0,705,suburban,0
50,M,5,sedan,16665,0,1054,0,575,urban,0
53,M,6,truck,16408,1,9982,2,780,urban,0
61,F,9,truck,13840,0,1203,1,699,urban,1
60,M,4,luxury,12974,2,1449,2,784,rural,1
24,M,5,sedan,10136,2,2679,0,506,urban,0
30,M,6,truck,8757,3,4968,1,684,urban,1
52,M,7,truck,11509,0,2279,0,757,suburban,0
52,M,3,sedan,16546,0,1502,1,602,suburban,0
52,M,4,truck,16843,0,793,1,634,urban,0
85,F,4,sports,1000,0,1379,1,717,suburban,0
53,F,1,truck,16233,0,6443,0,592,rural,0
62,F,5,luxury,3793,0,1136,2,569,suburban,0
59,M,4,luxury,10702,0,7915,0,777,suburban,0
54,M,1,suv,16720,4,13182,1,715,suburban,0
40,F,3,suv,9558,1,702,0,760,rural,1
56,F,7,sedan,9925,0,12508,0,635,rural,0
33,F,0,luxury,9745,0,1139,1,458,rural,0
41,F,9,suv,13045,0,593,1,796,urban,0
37,M,5,sedan,6798,0,1871,0,850,suburban,0
46,F,4,suv,14795,1,2345,0,598,rural,0
79,M,0,truck,17545,0,1740,1,740,suburban,0
18,M,6,sports,21323,3,1314,0,669,rural,0
55,M,6,suv,10050,0,4931,0,767,rural,0
20,F,2,truck,19132,2,2503,1,483,rural,0
37,F,3,sports,11799,0,3136,1,633,suburban,0
61,F,5,suv,10380,1,12136,2,700,suburban,0
45,M,7,luxury,12859,0,1080,1,571,urban,0
28,M,5,sports,12359,3,4872,2,649,urban,1
34,F,5,truck,13549,1,11966,1,660,suburban,0
55,M,6,luxury,4067,0,3599,1,626,rural,0
34,F,3,truck,12646,0,4634,0,667,urban,0
48,M,5,suv,8991,1,1738,0,677,rural,0
45,M,4,truck,21243,0,744,1,730,urban,1
35,M,3,sedan,8113,0,2321,1,664,rural,0
77,M,7,truck,8875,2,4690,1,595,urban,0
54,M,4,truck,9208,0,1845,0,680,suburban,0
18,M,7,luxury,10781,0,6755,4,596,rural,0
47,M,6,truck,15233,2,3212,0,607,urban,0
35,F,4,sports,8228,0,1721,1,539,suburban,0
57,M,4,truck,15202,0,5911,1,563,urban,1
33,M,3,suv,7072,0,8717,0,565,suburban,1
43,F,5,sedan,16474,0,1277,1,524,urban,1
52,F,4,sedan,17829,1,4220,4,786,rural,0
57,F,10,truck,5054,3,910,1,616,urban,0
26,F,8,sedan,9845,0,522,0,839,urban,0
39,M,2,luxury,16083,1,1246,1,645,rural,0
37,M,3,sedan,8122,0,3466,2,635,urban,1
35,F,7,suv,14549,0,5238,1,550,suburban,0
71,M,4,truck,8324,2,2773,0,624,urban,0
51,F,6,sedan,15380,0,894,0,631,suburban,0
26,M,4,suv,13629,0,6714,0,722,suburban,0
58,M,5,sedan,16803,0,5573,1,583,rural,0
76,M,5,suv,13487,1,1454,0,503,urban,0
60,M,9,truck,16426,0,4883,1,690,rural,1
22,M,4,suv,13538,0,2964,1,577,suburban,0
37,F,1,sedan,13274,1,6670,1,572,rural,0
64,M,4,suv,22052,0,1002,2,705,suburban,0
34,M,6,truck,10197,0,7930,0,771,suburban,0
51,M,3,suv,11982,1,4657,1,580,rural,0
56,M,4,luxury,9663,0,27434,0,509,urban,0
31,M,10,sedan,10417,1,3141,1,518,urban,0
44,F,9,suv,10819,1,2865,2,557,urban,0
18,M,6,luxury,13136,2,723,3,615,suburban,0
29,F,7,luxury,11178,0,9609,2,796,rural,0
41,M,0,sports,15305,0,7993,0,714,suburban,0
26,M,6,suv,11176,2,3980,0,508,suburban,0
69,F,2,sports,15561,1,500,1,820,rural,0
23,M,3,luxury,16273,0,12352,0,800,suburban,0
38,M,13,truck,11687,1,775,0,726,suburban,0
46,F,5,suv,3737,1,10249,0,662,urban,0
66,M,2,sports,14476,1,500,1,741,urban,0
23,F,6,sedan,14056,0,13592,0,632,suburban,0
62,F,6,truck,8915,1,1622,0,757,rural,0
45,F,4,sports,7062,0,1783,0,711,rural,0
30,M,8,suv,10756,0,646,2,727,suburban,0
51,M,10,sedan,10796,0,2746,1,618,urban,0
47,F,9,truck,12196,1,6466,1,804,rural,0
35,M,4,luxury,11862,1,3617,0,575,suburban,0
46,F,3,sports,11802,1,8538,0,847,rural,0
39,M,6,truck,1000,0,2644,0,517,urban,0
46,F,7,luxury,17063,0,3465,1,741,suburban,0
54,M,5,suv,6757,1,5770,2,581,suburban,0
68,F,4,suv,9521,0,15910,1,516,suburban,0
26,M,6,luxury,5929,0,5973,1,666,urban,0
76,F,5,truck,23423,1,4065,0,792,suburban,1
18,M,5,sports,13533,0,1076,0,850,urban,0
42,F,1,suv,10779,1,669,0,634,suburban,0
53,M,6,suv,5956,1,4108,2,634,urban,0
49,M,4,truck,14337,0,7564,0,757,suburban,0
35,F,4,suv,11080,1,5599,1,663,rural,0
41,M,2,sedan,12318,1,812,2,766,suburban,0
37,M,5,luxury,17127,1,3245,0,711,suburban,0
36,M,4,sports,4230,0,2760,0,558,rural,0
57,M,9,truck,15831,0,1927,1,672,suburban,1
50,F,4,sedan,6251,0,14405,0,703,suburban,0
34,M,0,suv,15714,0,4337,0,600,urban,0
58,M,11,suv,14248,0,880,0,758,suburban,0
49,F,8,sedan,1000,1,1676,1,581,suburban,0
57,M,7,suv,12320,1,3006,0,592,rural,0
54,F,6,luxury,7309,0,500,1,384,suburban,0
32,M,3,suv,17476,1,9232,1,543,rural,0
36,F,5,sports,13196,1,12375,0,536,urban,1
56,M,6,luxury,6234,0,560,0,683,suburban,0
54,F,3,truck,9454,1,3634,0,537,urban,0
44,F,5,luxury,18489,1,18485,0,580,suburban,0
46,F,8,truck,10357,1,5439,0,850,urban,0
64,M,6,truck,7790,1,18434,1,786,urban,0
36,F,7,luxury,19549,1,10404,4,478,rural,1
53,M,4,sports,13301,1,4011,0,553,urban,1
41,F,3,suv,11555,1,712,0,733,rural,0
41,F,8,luxury,7566,0,6070,0,828,suburban,0
61,F,1,truck,6532,0,5025,0,770,rural,0
57,M,5,luxury,17847,0,2077,0,763,suburban,0
57,M,6,truck,8844,0,9329,0,637,suburban,0
64,F,5,truck,9963,0,2186,1,579,suburban,0
45,F,5,sedan,14520,1,4442,0,520,rural,0
55,F,5,sports,17152,0,1280,2,585,urban,0
40,F,5,sports,10694,1,5024,2,604,rural,0
49,F,6,truck,7727,0,3199,1,708,rural,0
43,F,5,truck,3717,1,3778,0,726,urban,0
46,F,5,suv,22222,1,5847,1,658,suburban,0
53,F,8,truck,15878,0,12200,1,625,urban,0
32,M,3,truck,15351,0,500,2,687,suburban,0
76,F,5,sports,3324,0,1341,1,678,rural,0
29,M,3,truck,9719,1,7319,2,473,suburban,0
26,F,3,suv,13248,2,1513,1,726,suburban,0
62,M,7,sedan,9779,1,5121,0,799,rural,0
56,M,4,sedan,7412,0,1978,0,661,rural,0
54,F,4,suv,5832,0,1757,0,446,urban,0
54,M,2,truck,12035,0,12926,2,810,suburban,0
44,M,6,suv,10306,0,9216,1,736,rural,0
31,F,3,sedan,9872,1,4999,0,505,suburban,0
46,F,7,sports,9415,0,2753,1,739,suburban,0
34,F,7,truck,13809,0,4438,2,636,rural,1
59,M,8,truck,4813,0,1191,1,543,urban,0
42,F,6,luxury,16413,1,5263,1,588,suburban,0
32,M,7,truck,6255,0,9756,2,585,suburban,0
40,F,4,luxury,14863,2,1791,1,850,rural,0
51,F,7,luxury,1000,0,7623,1,588,suburban,0
36,M,2,sports,12677,0,2760,2,596,rural,0
32,M,5,luxury,10228,0,3084,0,685,rural,1
48,M,3,luxury,16866,0,2116,1,850,urban,0
48,F,7,luxury,9457,1,2009,2,814,urban,1
37,F,5,luxury,14546,2,10778,1,614,urban,1
37,F,7,luxury,12250,2,1169,1,599,urban,0
48,M,9,suv,7999,1,1286,1,830,suburban,0
23,M,6,luxury,8637,0,11584,1,616,urban,0
23,M,5,suv,11159,1,1423,2,639,suburban,0
34,M,7,suv,17634,1,4167,1,689,rural,0
41,F,1,suv,14300,1,872,1,577,urban,0
49,M,3,truck,8656,0,3588,0,490,suburban,0
67,M,3,suv,12204,0,687,1,660,rural,0
57,F,11,truck,5118,0,1812,2,769,urban,1
42,F,4,suv,8615,1,4286,0,622,rural,0
44,M,2,suv,11987,1,15505,1,574,suburban,0
29,M,5,suv,6062,0,5349,2,699,urban,0
44,M,7,sports,10106,0,1899,3,622,suburban,0
40,M,2,truck,19229,1,5444,1,592,suburban,0
49,M,5,truck,7865,0,4114,1,611,suburban,0
32,M,2,sports,17833,0,1103,1,664,urban,0
52,F,1,luxury,7466,2,11612,0,633,rural,1
67,F,6,suv,2532,0,669,2,719,rural,0
43,F,4,sedan,14735,0,1338,0,736,suburban,0
51,F,7,truck,2941,2,1387,0,590,suburban,0
55,M,7,truck,12513,0,1357,1,688,suburban,0
38,M,6,sedan,8179,0,7701,3,719,urban,0
48,M,6,sedan,18952,0,3479,2,600,urban,0
45,M,6,sedan,16574,2,4838,0,651,suburban,0
46,F,7,sports,14792,0,1763,1,623,suburban,0
33,M,4,suv,12589,0,11010,0,676,urban,0
45,M,9,suv,14242,1,500,2,466,urban,0
52,M,4,sedan,18031,2,11079,2,755,suburban,0
66,M,6,luxury,5842,1,3724,2,826,rural,0
59,F,7,suv,6131,1,2727,2,670,urban,0
77,M,4,luxury,12566,0,846,0,683,suburban,0
33,F,6,suv,12334,0,5757,1,774,suburban,0
58,M,2,luxury,20202,0,9109,0,773,suburban,0
47,M,6,sports,15733,1,710,0,532,urban,0
77,M,4,suv,7397,0,1225,2,679,suburban,0
32,F,3,suv,10975,1,5656,0,628,suburban,0
32,M,3,truck,12663,0,2597,1,582,suburban,0
36,M,5,suv,2826,0,585,0,420,urban,0
18,M,3,truck,10277,0,10414,1,846,suburban,1
37,F,4,sedan,8453,0,6998,3,481,suburban,1
33,F,3,truck,8109,0,731,1,691,suburban,0
47,M,6,sedan,5526,0,4489,1,661,urban,1
50,F,9,suv,10751,0,2098,2,674,urban,0
73,M,5,truck,21800,0,2844,1,607,suburban,0
59,M,6,sedan,4851,1,2207,0,656,suburban,0
36,F,4,truck,8069,1,2963,0,533,rural,0
31,M,3,sedan,17539,0,1771,0,693,suburban,0
52,M,9,truck,17991,0,9312,0,646,rural,0
25,F,3,sedan,3377,0,1646,0,631,suburban,0
72,F,9,luxury,9913,3,2002,1,617,urban,0
62,F,4,suv,13919,1,2035,0,610,suburban,0
37,F,8,suv,13684,2,6606,0,670,rural,0
19,M,3,truck,10319,0,1773,0,850,rural,1
65,M,3,sedan,17418,0,4111,1,726,rural,0
43,M,5,luxury,15299,1,3134,1,701,suburban,0
63,M,8,suv,9656,0,4064,0,433,urban,0
21,M,3,truck,4894,0,5844,2,578,suburban,0
36,M,4,suv,17691,0,3991,0,714,urban,0
45,M,8,luxury,25581,0,10269,3,748,rural,0
45,M,3,suv,9335,2,3244,1,699,suburban,0
38,F,3,sports,19893,0,4733,0,683,urban,0
54,M,2,luxury,13166,0,3035,1,558,suburban,0
28,M,7,sedan,13256,0,7458,0,576,suburban,0
42,M,2,luxury,21894,0,3658,1,579,rural,0
46,M,6,truck,20244,0,500,0,759,rural,0
52,M,5,sedan,6746,0,1716,0,617,rural,0
55,F,6,suv,13288,0,8251,0,665,rural,0
28,F,2,luxury,16498,0,3599,1,726,urban,0
21,F,10,sedan,9184,0,3005,0,492,rural,0
64,M,3,suv,16408,0,2191,1,769,urban,0
49,M,6,luxury,5705,0,2993,1,715,rural,0
33,M,5,sedan,10795,0,3944,0,551,rural,0
68,M,7,truck,19962,0,2423,0,659,rural,1
46,F,6,suv,14413,1,970,1,650,rural,0
62,F,7,suv,16111,0,4662,1,631,suburban,0
46,M,4,truck,12791,0,2619,1,692,suburban,0
75,M,7,truck,10856,0,2334,0,465,suburban,0
71,F,2,truck,17436,0,631,0,770,urban,0
41,F,6,sedan,21480,0,803,2,708,urban,0
59,F,7,truck,16659,0,3989,0,850,urban,0
54,F,5,sports,10594,1,783,1,668,rural,0
65,F,4,sedan,20894,1,4377,2,715,rural,0
30,F,5,truck,15923,0,6403,0,818,suburban,0
55,F,2,truck,7019,2,500,0,552,suburban,0
60,M,8,sports,12651,1,2236,0,747,suburban,1
18,M,5,luxury,12733,0,1698,1,715,rural,0
27,F,6,truck,14129,0,500,1,552,suburban,0
18,M,5,suv,5744,0,13419,1,465,rural,0
40,F,6,truck,9935,0,13621,3,550,rural,1
55,M,8,sedan,12752,2,3367,1,540,urban,0
67,F,7,sedan,8475,1,7895,0,511,rural,0
46,M,0,truck,10470,0,6928,2,597,suburban,0
69,F,4,sedan,19999,1,8232,0,759,rural,0
24,M,7,suv,9072,0,2817,0,561,rural,0
19,M,7,truck,15031,0,1726,0,628,urban,0
44,F,2,suv,15514,0,12588,1,534,rural,0
50,F,3,sports,8474,0,500,0,569,urban,0
44,F,9,luxury,9708,0,933,1,409,suburban,0
18,M,7,sports,13871,0,17190,0,555,suburban,0
43,M,8,truck,14874,0,3127,2,545,rural,0
25,M,4,luxury,7899,3,1010,1,631,suburban,0
55,M,2,truck,16567,0,1443,1,624,urban,0
50,F,6,luxury,16532,1,10964,0,641,rural,0
30,F,2,truck,12821,0,1469,1,653,suburban,1
37,M,4,luxury,9410,0,3236,1,772,urban,0
29,F,9,suv,15719,0,1101,1,625,suburban,0
44,F,4,sedan,11319,1,1618,0,663,suburban,0
59,F,3,truck,14528,0,500,0,595,urban,0
30,F,4,sports,20115,0,10042,3,685,rural,0
52,M,2,sports,14550,0,2217,2,697,suburban,0
37,F,7,truck,8922,0,3459,0,676,urban,0
33,F,7,suv,4802,0,3091,0,749,suburban,1
43,F,2,truck,13240,1,1985,1,791,urban,0
29,M,4,luxury,13549,0,3807,1,545,urban,0
36,F,4,sedan,6411,0,654,2,627,suburban,0
27,M,5,suv,4460,0,1010,2,633,rural,0
74,M,6,sedan,11741,0,31873,1,721,urban,0
45,F,6,sports,8427,0,2485,0,667,rural,0
34,F,8,sedan,19524,1,6014,0,612,urban,0
48,M,4,sedan,8845,0,769,1,740,urban,0
43,M,1,truck,7867,0,1660,2,846,rural,1
41,M,4,sports,11935,1,2063,1,580,suburban,0
54,M,6,sedan,9431,1,500,0,682,suburban,0
56,F,3,luxury,7562,1,42959,0,652,suburban,1
37,M,4,sedan,15317,1,6773,0,700,rural,1
36,F,1,truck,15481,0,500,2,786,urban,0
40,F,7,suv,15597,2,42839,0,675,urban,0
18,M,2,suv,15529,1,2974,3,602,urban,0
22,F,9,suv,21071,0,2957,1,526,suburban,0
65,M,6,luxury,5394,1,9144,0,627,urban,0
69,M,5,sedan,10001,1,1983,1,491,rural,0
41,M,10,sports,9424,0,3569,1,601,urban,0
53,F,7,sedan,12767,2,3127,0,723,urban,0
49,F,5,suv,1836,2,5034,0,644,suburban,0
85,M,4,suv,13082,0,4609,3,670,rural,0
61,F,11,sports,11086,0,5528,1,776,rural,0
43,F,4,sedan,15417,1,3728,0,641,rural,0
30,F,3,suv,23202,1,6577,0,665,urban,0
20,F,1,sports,12199,0,9318,1,540,rural,0
48,F,7,truck,10449,0,1394,1,595,rural,0
33,M,5,suv,11766,1,1093,2,677,rural,0
23,F,7,truck,12352,0,1197,1,623,rural,0
35,F,5,sedan,12091,0,1610,0,850,rural,0
28,M,2,luxury,11938,0,7693,2,567,suburban,0
70,F,5,sedan,14516,1,11737,4,563,urban,0
58,F,9,luxury,16636,0,1795,0,590,rural,0
44,F,11,sports,11546,0,2768,3,618,rural,0
67,M,6,luxury,12239,0,2435,0,604,suburban,0
46,F,6,sports,15950,0,8048,2,699,urban,0
32,F,3,suv,16221,1,5141,1,528,rural,0
67,M,8,sedan,16850,1,20647,0,850,rural,1
53,M,3,sports,21577,1,6227,1,534,suburban,1
29,F,8,sedan,24259,1,2735,0,661,urban,0
42,M,7,sedan,25137,0,4026,0,558,urban,1
31,M,6,sports,11762,0,2364,1,736,urban,0
24,M,6,sports,14824,2,17956,1,564,rural,0
58,F,3,luxury,11431,0,500,0,679,rural,0
73,F,7,suv,10462,0,5606,0,602,urban,0
24,M,4,suv,16661,0,6155,0,537,suburban,0
53,M,4,truck,10405,0,12275,0,576,rural,0
35,M,10,luxury,16094,0,7020,3,561,rural,0
37,M,6,luxury,10297,1,5058,1,762,urban,0
36,F,2,sedan,5833,0,1973,4,702,suburban,0
32,M,4,sedan,10936,2,2886,1,829,rural,0
45,F,3,sports,15829,0,1760,1,589,urban,0
32,M,9,truck,9642,0,1887,3,678,suburban,0
49,F,6,sedan,13849,2,6213,0,765,urban,0
44,F,3,luxury,6540,0,5930,1,682,suburban,0
41,M,7,truck,7328,0,1995,1,388,suburban,0
31,F,5,luxury,17608,0,1363,0,586,suburban,0
36,F,7,luxury,8951,0,1186,0,684,urban,0
56,F,7,luxury,16949,3,5716,0,560,urban,1
52,M,2,suv,10321,0,852,1,693,urban,0
30,F,7,luxury,11099,0,709,1,453,suburban,1
46,F,3,suv,16627,0,6028,0,506,rural,0
56,M,7,sedan,24185,1,1249,1,699,urban,0
19,M,5,luxury,9968,0,8094,4,601,rural,0
